City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Kudahuvadhoo,MV,82.53,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
439,Honiara,SB,76.28,few clouds,-9.4333,159.95,Heritage Park Hotel
447,Show Low,US,79.66,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
449,Bani,DO,86.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
452,Meulaboh,ID,77.65,overcast clouds,4.1363,96.1285,Kost Pria
461,Ishikawa,JP,82.72,scattered clouds,26.4233,127.8214,Sheraton Okinawa Sunmarina Resort
464,Almeirim,BR,89.89,scattered clouds,-1.5233,-52.5817,Ricácio Hotel
467,Balabac,PH,78.96,light rain,7.9868,117.0645,Batalla’s Lodging House
468,Yining,CN,78.8,overcast clouds,29.0361,114.5636,Xiushui Hotel
472,Vila Do Maio,CV,83.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
475,Posse,BR,86.34,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
482,Urumqi,CN,81.55,thunderstorm,43.801,87.6005,Hua Ling Grand Hotel Urumqi
483,Kousseri,CM,89.56,scattered clouds,12.0769,15.0306,Le Pilotis
486,Tripoli,LY,83.89,clear sky,32.8752,13.1875,Al Waddan Hotel
492,Benghazi,LY,83.14,clear sky,32.1167,20.0667,Tibesti Hotel
502,Meridian,US,81.14,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
504,Puerto Ayacucho,VE,82.54,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
507,Hoa Binh,VN,83.17,moderate rain,20.8133,105.3383,Hoa Dao Hotel
509,Auki,SB,76.3,clear sky,-8.7676,160.7034,Auki Motel
513,Santa Rita Do Sapucai,BR,86.07,broken clouds,-22.2522,-45.7033,Carlito's Hostel
516,Mitchell,US,87.78,clear sky,43.7094,-98.0298,Kelly Inn & Suites
518,Den Helder,NL,87.96,scattered clouds,52.9599,4.7593,Hotel Den Helder
521,Alamos,MX,89.74,overcast clouds,27.0167,-108.9333,Luz del Sol
522,Kutum,SD,87.3,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
526,Georgiyevka,KZ,77.04,clear sky,43.0369,74.7114,Gostinitsa Imperiya
530,Samarai,PG,79.27,overcast clouds,-10.6167,150.6667,Nuli Sapi
