City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Saint George,US,37.1041,-113.5841,93.63,31,0,6.91,clear sky
221,Tutoia,BR,-2.7619,-42.2744,83.3,67,57,12.19,broken clouds
222,Vestmanna,FO,62.1564,-7.1664,54.52,76,75,4.61,broken clouds
223,Contamana,PE,-7.3333,-75.0167,76.77,94,95,2.95,overcast clouds
224,Herat,AF,34.5,62.0,89.62,8,0,23.71,clear sky
225,Balykshi,KZ,47.0667,51.8667,87.8,48,0,6.71,clear sky
226,Kadaya,RU,50.9327,119.2911,60.31,87,98,2.75,overcast clouds
227,Ilhabela,BR,-23.7781,-45.3581,69.28,92,100,6.08,overcast clouds
228,Brandon,US,27.9378,-82.2859,93.15,77,75,10.36,broken clouds
229,Labuhan,ID,-6.8844,112.2051,76.69,85,44,8.01,scattered clouds
230,Winnemucca,US,40.973,-117.7357,87.85,22,0,4.61,clear sky
231,Nyzhnya Duvanka,UA,49.5846,38.1743,66.47,53,1,11.25,clear sky
232,Bintulu,MY,3.1667,113.0333,77.41,94,20,3.44,few clouds
233,Nome,US,64.5011,-165.4064,43.16,75,100,19.57,light rain
234,Chaiyaphum,TH,15.75,102.0,81.64,75,84,6.76,broken clouds
235,Chapais,CA,49.7834,-74.8492,78.58,28,31,9.75,scattered clouds
236,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,70,23,13.67,few clouds
237,Husavik,IS,66.0449,-17.3389,51.55,75,60,8.79,broken clouds
238,Alekseyevsk,RU,57.8406,108.3492,57.22,85,8,3.62,clear sky
239,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,6.91,light rain
240,Qui Nhon,VN,13.7667,109.2333,81.32,84,98,4.97,overcast clouds
241,Abapo,BO,-18.8333,-63.4667,83.35,35,72,0.92,broken clouds
242,Hasaki,JP,35.7333,140.8333,75.6,79,100,8.81,overcast clouds
243,Jieshi,CN,22.8134,115.8257,82.83,90,100,9.95,overcast clouds
244,Peterhead,GB,57.5058,-1.7981,82.45,83,54,13.73,broken clouds
245,Tuatapere,NZ,-46.1333,167.6833,44.98,92,100,2.51,overcast clouds
246,Mana,GF,5.6592,-53.7767,83.17,71,73,7.96,broken clouds
247,Narsaq,GL,60.9167,-46.05,59.22,64,52,5.7,broken clouds
248,Uvarovka,RU,55.5278,35.6061,55.56,90,33,7.4,light rain
249,Souillac,MU,-20.5167,57.5167,68.38,77,75,18.41,broken clouds
250,Umm Kaddadah,SD,13.6017,26.6876,80.35,56,99,8.63,moderate rain
251,Khasan,RU,42.4308,130.6434,63.73,98,100,3.56,overcast clouds
252,Pulandian,CN,39.3953,121.9669,69.51,85,18,5.12,few clouds
253,Fort Nelson,CA,58.8053,-122.7002,60.39,77,75,2.3,broken clouds
254,Bilibino,RU,68.0546,166.4372,40.05,68,98,3.11,overcast clouds
255,Hovd,MN,48.0056,91.6419,58.93,71,89,4.72,overcast clouds
256,Qasigiannguit,GL,68.8193,-51.1922,46.65,74,44,1.68,scattered clouds
